Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Iga Swiatek,2025 Montreal R16,L vsTauson,67.5%,48.1%,12.5%,3/7,2.17,22.0%,63.8%,40.0%,4.3%,2.19,33.3%,82.8%,58.3%,27.6%,2.15,5.9%
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,78.6%,72.7%,0.0%,0/0,2.12,11.5%,100.0%,73.7%,0.0%,2.13,15.0%,77.8%,71.4%,0.0%,2.12,0.0%
Iga Swiatek,2025 Wimbledon SF,W vsBencic,88.4%,60.5%,2.3%,0/1,2.52,13.3%,92.6%,52.0%,3.7%,2.56,21.1%,86.7%,76.9%,0.0%,2.46,0.0%
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,71.2%,59.6%,3.0%,1/1,2.47,0.0%,73.2%,50.0%,0.0%,2.47,0.0%,85.0%,76.5%,10.0%,2.46,0.0%
Iga Swiatek,2025 Wimbledon R16,W vsTauson,79.1%,58.8%,7.0%,1/2,2.11,40.0%,78.9%,53.3%,0.0%,2.14,53.8%,86.4%,63.2%,13.6%,2.06,14.3%
Iga Swiatek,2025 Wimbledon R32,W vsCollins,65.5%,63.9%,7.3%,0/4,2.85,10.7%,66.7%,70.8%,0.0%,2.53,20.0%,75.0%,50.0%,25.0%,3.23,0.0%
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,67.4%,60.0%,4.5%,1/3,2.78,27.5%,69.7%,54.3%,1.5%,2.73,45.2%,73.7%,78.6%,15.8%,2.84,0.0%
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,69.6%,40.6%,2.2%,0/1,2.29,6.5%,77.8%,33.3%,3.7%,2.10,5.6%,78.6%,54.5%,0.0%,2.55,7.7%
Iga Swiatek,2025 Bad Homburg F,L vsPegula,71.0%,42.9%,10.1%,5/2,2.16,14.3%,73.2%,40.0%,4.9%,1.77,20.8%,70.4%,47.4%,18.5%,2.68,5.6%
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,80.8%,69.0%,5.8%,1/2,2.75,14.3%,86.8%,66.7%,0.0%,2.57,21.1%,75.0%,77.8%,25.0%,3.13,0.0%
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,74.6%,43.4%,7.0%,2/3,2.22,6.4%,76.2%,37.5%,9.5%,2.00,12.0%,77.8%,52.4%,3.7%,2.48,0.0%
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,57.6%,64.7%,5.1%,1/2,2.36,34.3%,57.1%,60.0%,5.7%,2.25,50.0%,73.7%,71.4%,5.3%,2.59,0.0%
