Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Iga Swiatek,2025 Montreal R16,L vsTauson,24.6%,37.7%,46.3%,31.4%,51.4%,50.0%,20.0%,35.0%,100.0%,19.0%,23.8%,41.2%,11.1%,33.3%,0.0%,58
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,24.3%,35.1%,65.4%,31.0%,44.8%,60.0%,63.6%,22.2%,-,0.0%,0.0%,83.3%,20.0%,0.0%,-,-119
Iga Swiatek,2025 Wimbledon SF,W vsBencic,25.0%,45.5%,64.5%,33.3%,60.0%,75.0%,0.0%,44.4%,100.0%,8.3%,16.7%,45.5%,0.0%,28.6%,-,-36
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,22.1%,30.9%,54.0%,27.0%,37.8%,59.3%,29.4%,45.0%,66.7%,17.9%,25.0%,47.8%,8.3%,43.8%,20.0%,13
Iga Swiatek,2025 Wimbledon R16,W vsTauson,37.5%,52.5%,70.0%,48.0%,60.0%,84.6%,63.6%,57.1%,-,30.0%,60.0%,42.9%,16.7%,100.0%,100.0%,111
Iga Swiatek,2025 Wimbledon R32,W vsCollins,37.5%,41.7%,58.6%,42.9%,50.0%,75.0%,46.2%,26.7%,0.0%,31.6%,31.6%,38.5%,0.0%,40.0%,-,-43
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,26.0%,40.6%,53.6%,30.0%,46.7%,59.5%,42.9%,28.1%,14.3%,20.6%,32.4%,44.4%,21.4%,40.0%,0.0%,-37
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,40.0%,50.9%,61.3%,50.0%,61.1%,55.6%,43.8%,35.0%,-,23.5%,35.3%,69.2%,0.0%,70.0%,100.0%,23
Iga Swiatek,2025 Bad Homburg F,L vsPegula,34.8%,46.4%,47.6%,40.0%,52.5%,45.8%,57.1%,52.6%,50.0%,30.8%,42.3%,50.0%,10.0%,56.3%,33.3%,21
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,31.0%,45.2%,60.7%,38.7%,54.8%,68.4%,30.8%,44.4%,-,10.0%,20.0%,44.4%,0.0%,40.0%,100.0%,-104
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,33.8%,45.5%,53.2%,43.2%,54.5%,56.0%,56.3%,53.6%,33.3%,24.1%,37.9%,50.0%,0.0%,73.3%,100.0%,42
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,29.1%,47.3%,58.3%,34.2%,60.5%,68.0%,31.3%,63.6%,50.0%,21.4%,21.4%,36.4%,0.0%,60.0%,100.0%,84
Iga Swiatek,2025 Roland Garros SF,L vsSabalenka,12.7%,21.5%,40.0%,17.8%,28.9%,43.2%,18.5%,44.4%,100.0%,6.7%,13.3%,35.7%,0.0%,66.7%,100.0%,-51
Iga Swiatek,2025 Roland Garros QF,W vsSvitolina,22.2%,27.8%,57.7%,26.2%,33.3%,64.5%,26.3%,52.2%,-,19.2%,23.1%,47.6%,8.3%,28.6%,25.0%,57
Iga Swiatek,2025 Roland Garros R16,W vsRybakina,16.0%,31.0%,52.6%,14.3%,33.9%,56.3%,21.9%,58.3%,60.0%,22.2%,33.3%,46.4%,7.7%,52.2%,0.0%,92
Iga Swiatek,2025 Roland Garros R32,W vsCristian,20.3%,32.8%,64.7%,21.9%,34.4%,68.0%,60.0%,52.9%,66.7%,18.8%,31.3%,61.5%,6.7%,64.7%,100.0%,-104
Iga Swiatek,2025 Roland Garros R64,W vsRaducanu,18.3%,35.0%,63.0%,25.0%,42.5%,60.0%,37.5%,41.7%,50.0%,5.9%,23.5%,68.8%,11.1%,25.0%,-,-61
Iga Swiatek,2025 Roland Garros R128,W vsSramkova,20.0%,34.5%,61.0%,29.7%,40.5%,57.7%,25.0%,33.3%,-,0.0%,26.7%,66.7%,0.0%,33.3%,-,-119
Iga Swiatek,2025 Madrid SF,L vsGauff,12.2%,28.6%,35.0%,11.8%,32.4%,33.3%,29.4%,23.5%,0.0%,16.7%,25.0%,40.0%,0.0%,40.0%,0.0%,35
Iga Swiatek,2025 Madrid R32,W vsNoskova,30.5%,42.4%,48.8%,38.9%,52.8%,59.1%,11.8%,68.4%,100.0%,17.4%,26.1%,36.8%,0.0%,26.7%,50.0%,-104
Iga Swiatek,2025 Madrid R64,W vsEala,26.3%,45.0%,49.1%,27.7%,48.9%,50.0%,21.1%,17.9%,0.0%,27.6%,44.8%,47.6%,23.5%,8.3%,0.0%,42
Iga Swiatek,2025 Stuttgart QF,L vsOstapenko,30.2%,36.0%,34.6%,40.5%,47.6%,40.0%,13.6%,60.0%,33.3%,25.0%,30.6%,29.6%,6.7%,61.9%,40.0%,115
