Player,Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
Iga Swiatek,2025 Montreal R16,L vsTauson,28,25,1.1,19.9%,17.7%,20,20,1.0,16.9%,16.9%,10.2%,6.8%,1.4,17.0%,12.1%
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,9,14,0.6,11.4%,17.7%,6,12,0.5,8.7%,17.4%,0.0%,8.7%,0.3,10.1%,35.4%
Iga Swiatek,2025 Wimbledon SF,W vsBencic,25,13,1.9,28.7%,14.9%,23,11,2.1,28.0%,13.4%,14.6%,13.4%,0.9,12.6%,13.8%
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,21,22,1.0,15.7%,16.4%,18,19,0.9,14.6%,15.4%,8.9%,5.7%,0.4,11.2%,26.9%
Iga Swiatek,2025 Wimbledon R16,W vsTauson,18,16,1.1,21.7%,19.3%,14,11,1.3,19.7%,15.5%,15.5%,4.2%,0.4,8.4%,20.5%
Iga Swiatek,2025 Wimbledon R32,W vsCollins,14,15,0.9,13.6%,14.6%,12,14,0.9,12.6%,14.7%,8.4%,4.2%,0.3,9.7%,29.1%
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,40,39,1.0,21.6%,21.1%,35,37,0.9,20.1%,21.3%,12.6%,7.5%,0.5,7.0%,13.5%
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,14,16,0.9,13.9%,15.8%,9,14,0.6,10.5%,16.3%,3.5%,7.0%,0.7,15.8%,21.8%
Iga Swiatek,2025 Bad Homburg F,L vsPegula,30,39,0.8,21.7%,28.3%,21,36,0.6,17.2%,29.5%,11.5%,5.7%,0.7,10.9%,15.2%
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,19,11,1.7,20.4%,11.8%,15,11,1.4,17.2%,12.6%,11.5%,5.7%,0.6,11.8%,21.5%
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,27,34,0.8,18.2%,23.0%,21,30,0.7,15.8%,22.6%,10.5%,5.3%,0.6,9.5%,16.9%
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,25,24,1.0,21.9%,21.1%,19,21,0.9,20.2%,22.3%,12.8%,7.4%,0.6,9.6%,16.7%
Iga Swiatek,2025 Roland Garros SF,L vsSabalenka,29,38,0.8,17.1%,22.4%,28,34,0.8,17.5%,21.3%,8.8%,8.8%,1.1,15.3%,14.1%
Iga Swiatek,2025 Roland Garros QF,W vsSvitolina,21,30,0.7,16.0%,22.9%,18,26,0.7,14.6%,21.1%,6.5%,8.1%,0.4,9.2%,22.9%
Iga Swiatek,2025 Roland Garros R16,W vsRybakina,30,27,1.1,16.6%,14.9%,28,20,1.4,16.9%,12.0%,12.7%,4.2%,0.7,14.4%,19.3%
Iga Swiatek,2025 Roland Garros R32,W vsCristian,18,24,0.8,13.4%,17.9%,18,24,0.8,14.0%,18.6%,9.3%,4.7%,0.5,10.4%,21.6%
Iga Swiatek,2025 Roland Garros R64,W vsRaducanu,30,23,1.3,29.4%,22.5%,27,20,1.4,28.7%,21.3%,16.0%,12.8%,0.4,7.8%,17.6%
Iga Swiatek,2025 Roland Garros R128,W vsSramkova,24,19,1.3,19.8%,15.7%,23,16,1.4,20.7%,14.4%,17.1%,3.6%,1.1,19.8%,18.2%
Iga Swiatek,2025 Madrid SF,L vsGauff,7,23,0.3,8.4%,27.7%,6,20,0.3,8.5%,28.2%,5.6%,2.8%,3.2,22.9%,7.2%
Iga Swiatek,2025 Madrid R32,W vsNoskova,16,10,1.6,15.5%,9.7%,12,10,1.2,13.0%,10.9%,5.4%,7.6%,0.9,16.5%,17.5%
Iga Swiatek,2025 Madrid R64,W vsEala,44,42,1.0,24.4%,23.3%,38,38,1.0,23.5%,23.5%,16.7%,6.8%,0.5,9.4%,17.8%
Iga Swiatek,2025 Stuttgart QF,L vsOstapenko,17,27,0.6,10.5%,16.7%,12,19,0.6,8.6%,13.7%,5.0%,3.6%,1.1,18.5%,16.7%
Iga Swiatek,2025 Miami QF,L vsEala,29,37,0.8,21.5%,27.4%,26,33,0.8,21.0%,26.6%,9.7%,11.3%,1.1,11.9%,10.4%
Iga Swiatek,2025 Miami R16,W vsSvitolina,34,31,1.1,22.1%,20.1%,33,28,1.2,23.2%,19.7%,14.8%,8.5%,0.8,14.3%,18.2%
Iga Swiatek,2025 Miami R32,W vsMertens,27,26,1.0,19.1%,18.4%,21,23,0.9,16.8%,18.4%,8.0%,8.8%,0.9,17.0%,18.4%
Iga Swiatek,2025 Miami R64,W vsGarcia,28,17,1.6,22.8%,13.8%,20,16,1.3,18.0%,14.4%,9.0%,9.0%,0.6,11.4%,17.9%
Iga Swiatek,2025 Indian Wells SF,L vsAndreeva,26,34,0.8,14.9%,19.5%,22,31,0.7,13.9%,19.6%,10.8%,3.2%,0.9,19.0%,21.3%
Iga Swiatek,2025 Indian Wells QF,W vsZheng,16,20,0.8,14.2%,17.7%,15,18,0.8,14.4%,17.3%,9.6%,4.8%,0.3,12.4%,37.2%
Iga Swiatek,2025 Indian Wells R16,W vsMuchova,11,9,1.2,14.9%,12.2%,11,8,1.4,15.9%,11.6%,11.6%,4.3%,0.3,12.2%,35.1%
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,12,17,0.7,13.0%,18.5%,11,16,0.7,12.9%,18.8%,5.9%,7.1%,0.3,12.0%,34.8%
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,17,16,1.1,19.3%,18.2%,14,13,1.1,18.4%,17.1%,7.9%,10.5%,0.3,6.8%,26.1%
Iga Swiatek,2025 Dubai QF,L vsAndreeva,23,34,0.7,18.1%,26.8%,23,32,0.7,20.5%,28.6%,9.8%,10.7%,1.8,22.8%,12.6%
Iga Swiatek,2025 Doha SF,L vsOstapenko,7,14,0.5,7.3%,14.6%,6,11,0.5,7.1%,13.1%,3.6%,3.6%,1.7,26.0%,15.6%
Iga Swiatek,2025 Doha QF,W vsRybakina,21,16,1.3,16.3%,12.4%,20,15,1.3,16.4%,12.3%,10.7%,5.7%,0.6,15.5%,25.6%
Iga Swiatek,2025 Doha R32,W vsSakkari,16,18,0.9,15.5%,17.5%,13,17,0.8,13.4%,17.5%,5.2%,8.2%,0.4,12.6%,31.1%
Iga Swiatek,2025 Australian Open SF,L vsKeys,20,41,0.5,9.5%,19.4%,20,34,0.6,10.4%,17.6%,6.2%,4.1%,0.9,17.5%,18.5%
Iga Swiatek,2025 Australian Open QF,W vsNavarro,21,22,1.0,18.8%,19.6%,20,20,1.0,18.7%,18.7%,6.5%,12.1%,0.5,12.5%,23.2%
Iga Swiatek,2025 Australian Open R16,W vsLys,26,16,1.6,30.2%,18.6%,23,14,1.6,29.1%,17.7%,15.2%,13.9%,0.4,8.1%,18.6%
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,23,13,1.8,26.1%,14.8%,21,10,2.1,26.9%,12.8%,15.4%,11.5%,0.4,10.2%,27.3%
Iga Swiatek,2025 Australian Open R64,W vsSramkova,16,13,1.2,21.3%,17.3%,13,11,1.2,19.7%,16.7%,10.6%,9.1%,0.1,4.0%,33.3%
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,16,14,1.1,14.3%,12.5%,15,14,1.1,14.2%,13.2%,8.5%,5.7%,0.7,17.0%,23.2%
Iga Swiatek,2025 United Cup F,L vsGauff,22,29,0.8,16.9%,22.3%,22,24,0.9,18.8%,20.5%,12.0%,6.8%,1.1,12.3%,11.5%
Iga Swiatek,2025 United Cup SF,W vsRybakina,18,33,0.5,11.5%,21.0%,16,30,0.5,10.7%,20.0%,8.0%,2.7%,0.5,10.8%,22.3%
Iga Swiatek,2025 United Cup QF,W vsBoulter,30,37,0.8,14.6%,18.0%,26,35,0.7,13.7%,18.4%,5.3%,8.4%,0.6,15.1%,24.4%
Iga Swiatek,2025 United Cup RR,W vsMuchova,22,24,0.9,15.2%,16.6%,20,23,0.9,14.8%,17.0%,8.1%,6.7%,0.9,20.0%,21.4%
Iga Swiatek,2025 United Cup RR,W vsHelgo,26,9,2.9,31.3%,10.8%,23,6,3.8,32.4%,8.5%,21.1%,11.3%,0.4,7.2%,16.9%
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,36,48,0.8,17.1%,22.9%,28,42,0.7,14.7%,22.1%,8.9%,5.3%,0.7,10.5%,14.3%
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,24,26,0.9,11.7%,12.6%,19,24,0.8,10.4%,13.1%,7.7%,2.7%,0.9,18.4%,19.9%
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,36,45,0.8,18.7%,23.3%,33,42,0.8,18.4%,23.5%,12.8%,4.5%,0.5,10.4%,22.8%
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,16,41,0.4,11.2%,28.7%,15,39,0.4,11.8%,30.7%,4.7%,6.3%,0.3,7.0%,23.8%
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,15,10,1.5,20.3%,13.5%,14,9,1.6,20.3%,13.0%,7.2%,13.0%,0.1,2.7%,23.0%
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,42,36,1.2,22.2%,19.0%,33,30,1.1,20.0%,18.2%,9.1%,9.7%,0.7,12.7%,17.5%
Iga Swiatek,2024 US Open QF,L vsPegula,12,41,0.3,10.5%,36.0%,12,39,0.3,10.8%,35.1%,6.3%,4.5%,0.5,10.5%,19.3%
Iga Swiatek,2024 US Open R16,W vsSamsonova,14,19,0.7,13.0%,17.6%,11,18,0.6,11.0%,18.0%,2.0%,8.0%,0.5,10.2%,22.2%
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,19,9,2.1,17.4%,8.3%,19,7,2.7,18.4%,6.8%,9.7%,7.8%,1.1,16.5%,15.6%
Iga Swiatek,2024 US Open R64,W vsShibahara,13,6,2.2,14.6%,6.7%,9,6,1.5,11.3%,7.5%,5.0%,6.3%,0.3,10.1%,31.5%
Iga Swiatek,2024 US Open R128,W vsRakhimova,30,41,0.7,20.8%,28.5%,25,40,0.6,19.1%,30.5%,11.5%,6.1%,0.4,6.3%,16.7%
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,14,30,0.5,10.5%,22.6%,13,27,0.5,10.6%,22.0%,3.3%,5.7%,1.1,18.8%,16.5%
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,26,37,0.7,13.0%,18.5%,20,35,0.6,11.4%,19.9%,8.0%,3.4%,0.8,16.0%,20.5%
