,Rally_Length_Efficiency,Rally_Length_Efficiency,Serve_Return_Rally_Balance,Serve_Return_Rally_Balance,Short_Rally_Control,Short_Rally_Control,Long_Rally_Endurance,Long_Rally_Endurance,Rally_Progression_Score,Rally_Progression_Score,Forehand_Dominance,Forehand_Dominance,Backhand_Versatility,Backhand_Versatility,Forehand_Power_Index,Forehand_Power_Index,Backhand_Power_Index,Backhand_Power_Index,Power_Balance_Index,Power_Balance_Index,Rally_Adaptability,Rally_Adaptability,Match_Control_Metric,Match_Control_Metric,Tactical_Intelligence,Tactical_Intelligence,Court_Coverage_Efficiency,Court_Coverage_Efficiency,Win,Win,RallyLen,RallyLen
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Tournament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cup,0.479,0.053,0.945,0.038,0.529,0.063,0.723,0.188,0.577,0.098,0.528,0.074,0.966,0.013,1.073,0.358,0.986,0.548,0.721,0.275,0.656,0.194,0.686,0.177,0.711,0.071,0.543,0.049,0.8,0.447,3.7,0.524
Doha,0.487,0.099,0.968,0.029,0.491,0.104,0.576,0.131,0.518,0.138,0.537,0.075,0.967,0.005,0.783,0.198,0.726,0.374,0.719,0.259,0.54,0.079,0.567,0.191,0.667,0.014,0.547,0.093,0.667,0.577,3.667,1.007
Dubai,0.507,,0.923,,0.403,,0.0,,0.331,,0.472,,0.989,,0.714,,1.0,,0.667,,0.474,,0.166,,0.628,,0.568,,0.0,,3.4,
Indian,0.483,0.046,0.95,0.065,0.588,0.09,0.523,0.184,0.592,0.06,0.426,0.083,0.966,0.034,0.71,0.401,0.811,0.23,0.577,0.363,0.615,0.139,0.605,0.136,0.664,0.071,0.544,0.045,0.8,0.447,3.66,0.493
Madrid,0.528,0.018,0.914,0.007,0.477,0.107,0.389,0.347,0.475,0.195,0.513,0.073,0.952,0.026,0.742,0.391,0.689,0.279,0.506,0.224,0.622,0.147,0.478,0.291,0.688,0.067,0.589,0.016,0.667,0.577,3.2,0.173
Miami,0.478,0.062,0.943,0.031,0.517,0.039,0.594,0.297,0.562,0.107,0.503,0.115,0.965,0.016,1.022,0.594,0.975,0.237,0.533,0.261,0.68,0.184,0.601,0.222,0.712,0.07,0.545,0.059,0.75,0.5,3.725,0.67
Montreal,0.538,,0.959,,0.418,,0.75,,0.529,,0.543,,0.886,,0.893,,0.693,,0.882,,0.607,,0.498,,0.672,,0.592,,0.0,,3.1,
Open,0.421,0.059,0.905,0.062,0.569,0.097,0.66,0.155,0.619,0.072,0.514,0.058,0.975,0.022,1.001,0.354,0.942,0.353,0.682,0.241,0.679,0.146,0.677,0.141,0.718,0.045,0.492,0.058,0.833,0.408,4.367,0.758
Other,0.532,0.029,0.938,0.031,0.523,0.071,0.392,0.128,0.52,0.068,0.556,0.065,0.944,0.014,0.816,0.154,0.513,0.314,0.566,0.341,0.638,0.141,0.474,0.133,0.705,0.061,0.593,0.029,0.6,0.548,3.16,0.261
Roland,0.465,0.044,0.938,0.032,0.519,0.08,0.642,0.115,0.575,0.049,0.503,0.041,0.969,0.025,1.026,0.199,1.008,0.135,0.55,0.285,0.722,0.128,0.64,0.123,0.73,0.057,0.529,0.044,0.833,0.408,3.85,0.468
Wimbledon,0.499,0.038,0.943,0.079,0.611,0.062,0.674,0.345,0.588,0.083,0.544,0.083,0.961,0.021,0.831,0.538,0.646,0.213,0.629,0.28,0.526,0.232,0.736,0.215,0.662,0.112,0.561,0.034,1.0,0.0,3.486,0.376
