Player,Year,Avg_Rally_Length,Matches,Rally_Length_Efficiency,Serve_Return_Rally_Balance,Short_Rally_Control,Long_Rally_Endurance,Rally_Progression_Score,Forehand_Dominance,Backhand_Versatility,Forehand_Power_Index,Backhand_Power_Index,Power_Balance_Index,Rally_Adaptability,Match_Control_Metric,Tactical_Intelligence,Court_Coverage_Efficiency
Amanda Anisimova,2017,3.95,2,0.455,0.961,0.485,0.572,0.526,0.47,0.962,1.071,1.346,0.539,0.742,0.523,0.726,0.521
Amanda Anisimova,2018,3.333,3,0.513,0.965,0.476,0.367,0.43,0.463,0.928,0.747,0.749,0.379,0.669,0.408,0.685,0.574
Amanda Anisimova,2019,3.517,18,0.498,0.937,0.504,0.611,0.539,0.518,0.907,0.974,0.887,0.684,0.643,0.582,0.685,0.56
Amanda Anisimova,2020,3.78,5,0.471,0.978,0.414,0.277,0.443,0.496,0.929,1.095,1.099,0.631,0.611,0.349,0.672,0.534
Amanda Anisimova,2021,3.15,2,0.533,0.951,0.442,0.614,0.516,0.494,0.946,0.949,0.625,0.321,0.592,0.449,0.669,0.594
Amanda Anisimova,2022,3.1,13,0.539,0.951,0.487,0.59,0.515,0.522,0.932,0.886,0.79,0.638,0.595,0.557,0.674,0.599
Amanda Anisimova,2023,3.22,5,0.527,0.953,0.436,0.558,0.494,0.534,0.937,0.786,0.673,0.341,0.671,0.468,0.71,0.587
Amanda Anisimova,2024,3.038,8,0.545,0.943,0.491,0.452,0.498,0.54,0.922,0.864,0.716,0.688,0.606,0.47,0.681,0.606
Amanda Anisimova,2025,3.339,18,0.515,0.95,0.497,0.484,0.526,0.523,0.923,0.89,0.809,0.756,0.627,0.539,0.684,0.575
Aryna Sabalenka,2016,3.2,2,0.527,0.91,0.446,0.734,0.576,0.442,0.908,0.678,0.828,0.569,0.551,0.599,0.625,0.59
Aryna Sabalenka,2017,2.96,20,0.554,0.956,0.501,0.545,0.527,0.499,0.94,0.772,0.749,0.719,0.528,0.541,0.643,0.612
Aryna Sabalenka,2018,3.179,62,0.532,0.942,0.511,0.523,0.512,0.509,0.909,0.915,0.84,0.616,0.641,0.543,0.682,0.591
Aryna Sabalenka,2019,3.32,60,0.517,0.926,0.526,0.538,0.525,0.509,0.909,0.862,0.842,0.587,0.625,0.554,0.675,0.578
Aryna Sabalenka,2020,3.605,38,0.49,0.933,0.528,0.581,0.545,0.496,0.887,0.977,0.948,0.619,0.625,0.594,0.665,0.552
Aryna Sabalenka,2021,3.069,62,0.542,0.92,0.528,0.553,0.547,0.503,0.866,0.771,0.725,0.639,0.598,0.58,0.65,0.602
Aryna Sabalenka,2022,3.167,55,0.533,0.925,0.494,0.552,0.53,0.498,0.874,0.847,0.791,0.623,0.609,0.545,0.655,0.591
Aryna Sabalenka,2023,3.181,68,0.531,0.929,0.539,0.577,0.564,0.505,0.881,0.772,0.725,0.631,0.612,0.609,0.661,0.591
Aryna Sabalenka,2024,3.297,69,0.519,0.942,0.542,0.519,0.546,0.514,0.868,0.832,0.74,0.601,0.601,0.581,0.655,0.58
Aryna Sabalenka,2025,3.355,33,0.513,0.948,0.531,0.546,0.532,0.496,0.823,0.794,0.756,0.596,0.573,0.582,0.625,0.575
Clara Tauson,2019,4.45,2,0.411,0.962,0.548,0.46,0.506,0.528,0.823,1.63,1.096,0.447,0.818,0.505,0.732,0.477
Clara Tauson,2020,4.3,1,0.423,0.905,0.504,0.696,0.5,0.57,0.908,2.176,1.574,0.63,0.613,0.69,0.689,0.494
Clara Tauson,2021,3.883,6,0.464,0.962,0.521,0.54,0.528,0.525,0.838,0.89,0.805,0.67,0.682,0.569,0.681,0.527
Clara Tauson,2022,3.675,8,0.48,0.919,0.541,0.579,0.527,0.489,0.883,0.972,0.931,0.471,0.66,0.594,0.676,0.543
Clara Tauson,2023,4.72,5,0.394,0.947,0.554,0.383,0.521,0.464,0.775,1.302,0.818,0.353,0.689,0.507,0.647,0.461
Clara Tauson,2024,3.3,6,0.518,0.955,0.486,0.519,0.479,0.437,0.746,0.749,0.578,0.374,0.703,0.49,0.636,0.579
Clara Tauson,2025,3.4,20,0.508,0.932,0.514,0.466,0.486,0.504,0.737,0.768,0.649,0.573,0.612,0.507,0.617,0.571
Coco Gauff,2019,4.458,12,0.412,0.924,0.486,0.519,0.514,0.534,0.849,1.219,0.901,0.565,0.687,0.547,0.69,0.48
Coco Gauff,2020,3.762,8,0.473,0.941,0.473,0.433,0.486,0.505,0.883,1.128,1.091,0.395,0.649,0.443,0.676,0.536
Coco Gauff,2021,3.783,12,0.472,0.936,0.515,0.621,0.53,0.506,0.922,0.899,0.899,0.744,0.659,0.58,0.692,0.536
Coco Gauff,2022,4.135,23,0.442,0.927,0.495,0.512,0.489,0.547,0.918,1.119,0.88,0.527,0.682,0.503,0.712,0.507
