Player,Overall_RiP,Matches,Return_In_Play_Rate,Return_Win_Efficiency,Return_Aggression,Return_Forehand_Ratio,Return_Depth_Index,Return_Defense_Rate,First_Serve_Return_Quality,Second_Serve_Return_Quality,Serve_Return_Adaptability,Return_Consistency,Return_Tactical_Balance,Return_Positioning_Intelligence,Service_Type_Adaptability,Defensive_Versatility,Return_Match_Impact,Overall_Return_Game
Amanda Anisimova,0.657,74,0.657,0.551,0.068,0.494,2.314,0.094,0.485,0.565,0.517,0.668,0.577,1.272,0.832,0.083,0.515,0.496
Aryna Sabalenka,0.688,469,0.688,0.571,0.053,0.572,2.502,0.121,0.497,0.589,0.534,0.63,0.467,1.408,0.82,0.108,0.557,0.487
Clara Tauson,0.745,48,0.745,0.523,0.061,0.475,2.409,0.087,0.497,0.605,0.54,0.666,0.6,1.403,0.793,0.079,0.559,0.518
Coco Gauff,0.742,154,0.742,0.522,0.04,0.621,2.406,0.105,0.497,0.582,0.531,0.631,0.39,1.396,0.835,0.089,0.544,0.47
Ekaterina Alexandrova,0.668,81,0.668,0.563,0.063,0.495,2.497,0.108,0.495,0.558,0.52,0.535,0.544,1.388,0.837,0.099,0.529,0.494
Elena Rybakina,0.71,155,0.71,0.525,0.058,0.488,2.424,0.152,0.487,0.585,0.526,0.584,0.397,1.383,0.821,0.146,0.531,0.467
Elina Svitolina,0.745,226,0.745,0.517,0.064,0.522,2.351,0.081,0.495,0.603,0.538,0.656,0.629,1.373,0.801,0.07,0.547,0.522
Emma Navarro,0.728,48,0.728,0.495,0.068,0.608,2.434,0.045,0.5,0.609,0.543,0.629,0.686,1.408,0.784,0.038,0.537,0.527
Iga Swiatek,0.715,336,0.715,0.605,0.06,0.513,2.444,0.068,0.516,0.626,0.56,0.645,0.607,1.397,0.797,0.061,0.591,0.534
Jasmine Paolini,0.735,83,0.735,0.517,0.072,0.375,2.514,0.039,0.496,0.595,0.536,0.641,0.787,1.452,0.813,0.033,0.526,0.553
Jessica Pegula,0.687,123,0.687,0.541,0.075,0.523,2.558,0.071,0.493,0.57,0.524,0.621,0.681,1.438,0.835,0.063,0.523,0.524
Karolina Muchova,0.731,91,0.731,0.504,0.05,0.469,2.406,0.094,0.49,0.566,0.521,0.655,0.54,1.389,0.839,0.083,0.531,0.493
Madison Keys,0.679,122,0.679,0.541,0.043,0.656,2.38,0.117,0.485,0.559,0.514,0.627,0.415,1.33,0.851,0.103,0.521,0.462
Mirra Andreeva,0.776,78,0.776,0.515,0.05,0.388,2.434,0.066,0.516,0.586,0.544,0.733,0.626,1.441,0.853,0.056,0.546,0.527
Paula Badosa,0.751,82,0.751,0.474,0.058,0.615,2.449,0.089,0.492,0.564,0.521,0.673,0.572,1.427,0.863,0.08,0.514,0.498
Qinwen Zheng,0.724,84,0.724,0.548,0.052,0.48,2.261,0.129,0.511,0.568,0.534,0.606,0.406,1.297,0.824,0.142,0.55,0.477
Tatjana Maria,0.816,33,0.816,0.472,0.05,0.595,2.09,0.108,0.527,0.576,0.547,0.699,0.461,1.266,0.853,0.105,0.541,0.494
