Player,Match,Result,Year,Return_In_Play_Rate,Return_Win_Efficiency,Return_Aggression,Return_Forehand_Ratio,Return_Depth_Index,Return_Defense_Rate,First_Serve_Return_Quality,Second_Serve_Return_Quality,Serve_Return_Adaptability,Return_Consistency,Return_Tactical_Balance,Return_Positioning_Intelligence,Service_Type_Adaptability,Defensive_Versatility,Return_Match_Impact,Overall_Return_Game
Iga Swiatek,2025 Montreal R16,L vsTauson,2025,0.675,0.481,0.125,0.3,2.17,0.22,0.424,0.62,0.514,0.923,0.496,1.212,0.676,0.196,0.463,0.478
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,2025,0.786,0.727,0.0,0.5,2.12,0.115,0.695,0.597,0.645,0.98,0.0,1.262,0.822,0.075,0.71,0.464
Iga Swiatek,2025 Wimbledon SF,W vsBencic,2025,0.884,0.605,0.023,0.0,2.52,0.133,0.586,0.654,0.615,0.819,0.159,1.583,0.872,0.106,0.677,0.487
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,2025,0.712,0.596,0.03,0.5,2.47,0.0,0.493,0.666,0.572,0.98,0.995,1.41,0.707,0.0,0.63,0.608
Iga Swiatek,2025 Wimbledon R16,W vsTauson,2025,0.791,0.588,0.07,0.333,2.11,0.4,0.529,0.626,0.572,0.852,0.169,1.26,0.824,0.34,0.629,0.463
Iga Swiatek,2025 Wimbledon R32,W vsCollins,2025,0.655,0.639,0.073,0.0,2.85,0.107,0.55,0.55,0.547,0.247,0.554,1.572,1.0,0.1,0.602,0.517
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,2025,0.674,0.6,0.045,0.25,2.78,0.275,0.499,0.641,0.564,0.803,0.157,1.551,0.753,0.226,0.62,0.434
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,2025,0.696,0.406,0.022,0.0,2.29,0.065,0.452,0.532,0.488,0.407,0.285,1.295,0.851,0.066,0.537,0.403
Iga Swiatek,2025 Bad Homburg F,L vsPegula,2025,0.71,0.429,0.101,0.714,2.16,0.143,0.463,0.508,0.482,0.162,0.578,1.231,0.913,0.132,0.434,0.479
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,2025,0.808,0.69,0.058,0.333,2.75,0.143,0.614,0.661,0.633,0.326,0.362,1.657,0.91,0.106,0.697,0.539
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,2025,0.746,0.434,0.07,0.4,2.22,0.064,0.474,0.528,0.497,0.383,0.738,1.292,0.897,0.06,0.547,0.518
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,2025,0.576,0.647,0.051,0.333,2.36,0.343,0.48,0.591,0.53,0.507,0.143,1.24,0.801,0.25,0.583,0.413
Iga Swiatek,2025 Roland Garros SF,L vsSabalenka,2025,0.714,0.538,0.11,0.5,2.59,0.123,0.457,0.626,0.535,0.741,0.679,1.48,0.713,0.108,0.481,0.536
Iga Swiatek,2025 Roland Garros QF,W vsSvitolina,2025,0.746,0.568,0.068,0.25,2.59,0.058,0.459,0.646,0.545,0.869,0.762,1.507,0.688,0.056,0.599,0.562
Iga Swiatek,2025 Roland Garros R16,W vsRybakina,2025,0.735,0.525,0.108,0.111,2.66,0.027,0.457,0.612,0.528,0.34,0.994,1.538,0.733,0.022,0.581,0.599
Iga Swiatek,2025 Roland Garros R32,W vsCristian,2025,0.718,0.549,0.085,0.833,2.42,0.16,0.452,0.654,0.545,0.98,0.462,1.386,0.667,0.16,0.6,0.495
Iga Swiatek,2025 Roland Garros R64,W vsRaducanu,2025,0.81,0.676,0.024,1.0,2.28,0.023,0.565,0.646,0.6,0.923,0.621,1.376,0.85,0.018,0.661,0.575
Iga Swiatek,2025 Roland Garros R128,W vsSramkova,2025,0.758,0.6,0.03,0.0,2.1,0.024,0.555,0.556,0.553,0.289,0.708,1.231,0.996,0.019,0.608,0.556
Iga Swiatek,2025 Madrid SF,L vsGauff,2025,0.529,0.278,0.059,1.0,1.94,0.05,0.289,0.417,0.348,0.307,0.755,0.989,0.775,0.034,0.313,0.408
Iga Swiatek,2025 Madrid R32,W vsNoskova,2025,0.591,0.615,0.114,0.4,2.1,0.146,0.477,0.657,0.56,0.56,0.624,1.114,0.698,0.136,0.616,0.523
Iga Swiatek,2025 Madrid R64,W vsEala,2025,0.75,0.627,0.11,0.455,2.5,0.0,0.579,0.624,0.597,0.98,1.0,1.458,0.913,0.0,0.657,0.641
Iga Swiatek,2025 Stuttgart QF,L vsOstapenko,2025,0.579,0.614,0.158,0.583,2.61,0.038,0.511,0.562,0.533,0.415,0.997,1.374,0.903,0.04,0.48,0.595
Iga Swiatek,2025 Miami QF,L vsEala,2025,0.652,0.651,0.121,0.625,2.68,0.018,0.565,0.562,0.561,0.726,1.0,1.476,0.994,0.014,0.505,0.619
Iga Swiatek,2025 Miami R16,W vsSvitolina,2025,0.741,0.635,0.047,0.5,2.17,0.017,0.52,0.665,0.586,0.819,0.94,1.259,0.748,0.014,0.645,0.617
Iga Swiatek,2025 Miami R32,W vsMertens,2025,0.7,0.653,0.029,0.5,2.14,0.065,0.48,0.645,0.556,0.819,0.368,1.213,0.719,0.054,0.612,0.488
Iga Swiatek,2025 Miami R64,W vsGarcia,2025,0.721,0.694,0.103,0.286,2.18,0.088,0.573,0.66,0.612,0.399,0.782,1.251,0.841,0.079,0.673,0.608
Iga Swiatek,2025 Indian Wells SF,L vsAndreeva,2025,0.733,0.545,0.044,0.0,2.0,0.095,0.49,0.589,0.534,0.869,0.396,1.155,0.82,0.072,0.481,0.475
Iga Swiatek,2025 Indian Wells QF,W vsZheng,2025,0.746,0.659,0.034,0.5,2.24,0.073,0.556,0.628,0.587,0.415,0.388,1.304,0.865,0.058,0.646,0.511
Iga Swiatek,2025 Indian Wells R16,W vsMuchova,2025,0.59,0.783,0.077,0.333,2.47,0.12,0.604,0.597,0.598,0.257,0.532,1.309,0.985,0.1,0.658,0.542
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,2025,0.7,0.686,0.02,1.0,2.4,0.0,0.622,0.5,0.561,0.214,0.964,1.36,0.784,0.0,0.617,0.613
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,2025,0.727,0.781,0.045,0.5,2.17,0.231,0.629,0.668,0.645,0.383,0.185,1.249,0.925,0.176,0.709,0.506
Iga Swiatek,2025 Dubai QF,L vsAndreeva,2025,0.652,0.442,0.091,0.5,2.58,0.157,0.436,0.521,0.474,0.887,0.497,1.421,0.844,0.133,0.427,0.45
Iga Swiatek,2025 Doha SF,L vsOstapenko,2025,0.521,0.48,0.229,0.364,2.77,0.029,0.49,0.438,0.463,0.549,1.0,1.404,0.901,0.022,0.417,0.55
Iga Swiatek,2025 Doha QF,W vsRybakina,2025,0.727,0.583,0.091,0.5,2.47,0.042,0.475,0.692,0.576,0.44,0.941,1.422,0.648,0.03,0.633,0.608
Iga Swiatek,2025 Doha R32,W vsSakkari,2025,0.729,0.743,0.0,0.5,2.17,0.048,0.558,0.667,0.607,0.835,0.0,1.251,0.804,0.034,0.667,0.446
Iga Swiatek,2025 Australian Open SF,L vsKeys,2025,0.717,0.579,0.104,0.364,2.58,0.053,0.512,0.638,0.569,0.98,0.929,1.477,0.778,0.036,0.512,0.603
Iga Swiatek,2025 Australian Open QF,W vsNavarro,2025,0.864,0.608,0.034,0.0,2.62,0.022,0.586,0.63,0.604,0.835,0.787,1.628,0.915,0.022,0.664,0.608
Iga Swiatek,2025 Australian Open R16,W vsLys,2025,0.915,0.628,0.021,1.0,2.43,0.0,0.646,0.618,0.629,0.407,0.97,1.551,0.946,0.0,0.692,0.663
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,2025,0.83,0.614,0.0,0.5,1.81,0.05,0.551,0.689,0.613,0.252,0.0,1.104,0.759,0.034,0.675,0.442
Iga Swiatek,2025 Australian Open R64,W vsSramkova,2025,0.658,0.68,0.053,0.5,2.03,0.037,0.573,0.584,0.575,0.353,0.81,1.122,0.978,0.042,0.633,0.581
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,2025,0.737,0.548,0.088,0.6,2.51,0.175,0.556,0.555,0.553,0.44,0.443,1.453,0.998,0.134,0.608,0.497
Iga Swiatek,2025 United Cup F,L vsGauff,2025,0.604,0.5,0.075,0.25,2.53,0.055,0.425,0.588,0.5,0.549,0.819,1.353,0.722,0.044,0.45,0.521
Iga Swiatek,2025 United Cup SF,W vsRybakina,2025,0.788,0.507,0.035,0.333,2.25,0.021,0.508,0.577,0.538,0.726,0.811,1.341,0.871,0.016,0.592,0.561
