Player,Metric,Rank,Value,Matches
Tatjana Maria,Return_In_Play_Rate,1,0.816,33
Mirra Andreeva,Return_In_Play_Rate,2,0.776,78
Paula Badosa,Return_In_Play_Rate,3,0.751,82
Clara Tauson,Return_In_Play_Rate,4,0.745,48
Elina Svitolina,Return_In_Play_Rate,5,0.745,226
Coco Gauff,Return_In_Play_Rate,6,0.742,154
Jasmine Paolini,Return_In_Play_Rate,7,0.735,83
Karolina Muchova,Return_In_Play_Rate,8,0.731,91
Emma Navarro,Return_In_Play_Rate,9,0.728,48
Qinwen Zheng,Return_In_Play_Rate,10,0.724,84
Iga Swiatek,Return_Win_Efficiency,1,0.605,336
Aryna Sabalenka,Return_Win_Efficiency,2,0.571,469
Ekaterina Alexandrova,Return_Win_Efficiency,3,0.563,81
Amanda Anisimova,Return_Win_Efficiency,4,0.551,74
Qinwen Zheng,Return_Win_Efficiency,5,0.548,84
Jessica Pegula,Return_Win_Efficiency,6,0.541,123
Madison Keys,Return_Win_Efficiency,7,0.541,122
Elena Rybakina,Return_Win_Efficiency,8,0.525,155
Clara Tauson,Return_Win_Efficiency,9,0.523,48
Coco Gauff,Return_Win_Efficiency,10,0.522,154
Jessica Pegula,Return_Aggression,1,0.076,123
Jasmine Paolini,Return_Aggression,2,0.072,83
Amanda Anisimova,Return_Aggression,3,0.068,74
Emma Navarro,Return_Aggression,4,0.068,48
Elina Svitolina,Return_Aggression,5,0.064,226
Ekaterina Alexandrova,Return_Aggression,6,0.063,81
Clara Tauson,Return_Aggression,7,0.061,48
Iga Swiatek,Return_Aggression,8,0.06,336
Elena Rybakina,Return_Aggression,9,0.058,155
Paula Badosa,Return_Aggression,10,0.058,82
Madison Keys,Return_Forehand_Ratio,1,0.656,122
Coco Gauff,Return_Forehand_Ratio,2,0.621,154
Paula Badosa,Return_Forehand_Ratio,3,0.615,82
Emma Navarro,Return_Forehand_Ratio,4,0.608,48
Tatjana Maria,Return_Forehand_Ratio,5,0.595,33
Aryna Sabalenka,Return_Forehand_Ratio,6,0.572,469
Jessica Pegula,Return_Forehand_Ratio,7,0.523,123
Elina Svitolina,Return_Forehand_Ratio,8,0.522,226
Iga Swiatek,Return_Forehand_Ratio,9,0.513,336
Ekaterina Alexandrova,Return_Forehand_Ratio,10,0.495,81
Jessica Pegula,Return_Depth_Index,1,2.558,123
Jasmine Paolini,Return_Depth_Index,2,2.514,83
Aryna Sabalenka,Return_Depth_Index,3,2.502,469
Ekaterina Alexandrova,Return_Depth_Index,4,2.498,81
Paula Badosa,Return_Depth_Index,5,2.449,82
Iga Swiatek,Return_Depth_Index,6,2.444,336
Emma Navarro,Return_Depth_Index,7,2.434,48
Mirra Andreeva,Return_Depth_Index,8,2.434,78
Elena Rybakina,Return_Depth_Index,9,2.424,155
Clara Tauson,Return_Depth_Index,10,2.409,48
Elena Rybakina,Return_Defense_Rate,1,0.152,155
Qinwen Zheng,Return_Defense_Rate,2,0.129,84
Aryna Sabalenka,Return_Defense_Rate,3,0.121,469
Madison Keys,Return_Defense_Rate,4,0.117,122
Ekaterina Alexandrova,Return_Defense_Rate,5,0.108,81
Tatjana Maria,Return_Defense_Rate,6,0.108,33
Coco Gauff,Return_Defense_Rate,7,0.105,154
Amanda Anisimova,Return_Defense_Rate,8,0.094,74
Karolina Muchova,Return_Defense_Rate,9,0.094,91
Paula Badosa,Return_Defense_Rate,10,0.089,82
Tatjana Maria,First_Serve_Return_Quality,1,0.527,33
Iga Swiatek,First_Serve_Return_Quality,2,0.516,336
Mirra Andreeva,First_Serve_Return_Quality,3,0.516,78
Qinwen Zheng,First_Serve_Return_Quality,4,0.511,84
Emma Navarro,First_Serve_Return_Quality,5,0.5,48
Aryna Sabalenka,First_Serve_Return_Quality,6,0.497,469
Clara Tauson,First_Serve_Return_Quality,7,0.497,48
Coco Gauff,First_Serve_Return_Quality,8,0.497,154
Jasmine Paolini,First_Serve_Return_Quality,9,0.497,83
Ekaterina Alexandrova,First_Serve_Return_Quality,10,0.495,81
Iga Swiatek,Second_Serve_Return_Quality,1,0.626,336
Emma Navarro,Second_Serve_Return_Quality,2,0.609,48
Clara Tauson,Second_Serve_Return_Quality,3,0.605,48
Elina Svitolina,Second_Serve_Return_Quality,4,0.603,226
Jasmine Paolini,Second_Serve_Return_Quality,5,0.595,83
Aryna Sabalenka,Second_Serve_Return_Quality,6,0.589,469
Mirra Andreeva,Second_Serve_Return_Quality,7,0.586,78
Elena Rybakina,Second_Serve_Return_Quality,8,0.585,155
