Player,Overall_Unret,Matches,Serve_Power,Serve_Quick_Points,Serve_Rally_Control,First_Serve_Power,First_Serve_Dominance,Second_Serve_Aggression,Second_Serve_Effectiveness,First_Serve_Placement_Strategy,Second_Serve_Placement_Strategy,Serve_Type_Adaptability,Serve_Consistency,Power_Control_Balance,Clutch_Serving,Serve_Tactical_Intelligence,Serve_Match_Impact,Overall_Serve_Game
Amanda Anisimova,0.208,74,0.208,0.324,0.466,0.239,0.353,0.587,0.285,0.47,0.379,0.321,0.83,0.491,0.417,0.382,0.32,0.347
Aryna Sabalenka,0.266,469,0.266,0.412,0.512,0.331,0.444,0.577,0.329,0.508,0.465,0.39,0.78,0.551,0.448,0.44,0.408,0.41
Clara Tauson,0.223,48,0.223,0.33,0.482,0.286,0.389,0.532,0.258,0.41,0.405,0.328,0.777,0.532,0.487,0.391,0.34,0.36
Coco Gauff,0.253,154,0.253,0.339,0.51,0.307,0.406,0.727,0.306,0.404,0.242,0.359,0.788,0.559,0.229,0.319,0.369,0.371
Ekaterina Alexandrova,0.275,81,0.275,0.381,0.477,0.364,0.452,0.509,0.282,0.466,0.376,0.372,0.711,0.613,0.457,0.409,0.38,0.399
Elena Rybakina,0.278,155,0.278,0.401,0.487,0.37,0.463,0.433,0.29,0.429,0.412,0.382,0.717,0.599,0.451,0.411,0.388,0.406
Elina Svitolina,0.209,226,0.209,0.289,0.463,0.263,0.361,0.565,0.233,0.401,0.223,0.301,0.773,0.522,0.289,0.303,0.309,0.328
Emma Navarro,0.157,48,0.157,0.232,0.458,0.207,0.307,0.662,0.213,0.459,0.317,0.263,0.814,0.462,0.418,0.344,0.263,0.298
Iga Swiatek,0.23,336,0.23,0.343,0.53,0.28,0.396,0.562,0.305,0.363,0.388,0.353,0.807,0.505,0.373,0.366,0.373,0.37
Jasmine Paolini,0.179,83,0.179,0.249,0.461,0.204,0.305,0.593,0.24,0.403,0.394,0.274,0.84,0.473,0.477,0.364,0.271,0.313
Jessica Pegula,0.227,123,0.227,0.315,0.476,0.279,0.383,0.451,0.258,0.317,0.313,0.324,0.775,0.545,0.359,0.328,0.327,0.349
Karolina Muchova,0.233,91,0.233,0.333,0.489,0.284,0.388,0.511,0.271,0.461,0.38,0.333,0.791,0.535,0.398,0.381,0.342,0.364
Madison Keys,0.286,122,0.286,0.395,0.47,0.356,0.436,0.558,0.284,0.488,0.495,0.365,0.74,0.602,0.493,0.441,0.372,0.404
Mirra Andreeva,0.201,78,0.201,0.271,0.488,0.235,0.334,0.502,0.27,0.385,0.294,0.304,0.857,0.497,0.329,0.323,0.307,0.328
Paula Badosa,0.253,82,0.253,0.337,0.459,0.331,0.406,0.466,0.271,0.363,0.54,0.343,0.763,0.602,0.435,0.405,0.339,0.376
Qinwen Zheng,0.276,84,0.276,0.384,0.465,0.394,0.486,0.453,0.27,0.496,0.436,0.386,0.661,0.635,0.486,0.438,0.399,0.408
Tatjana Maria,0.233,33,0.233,0.313,0.452,0.321,0.415,0.536,0.22,0.306,0.415,0.325,0.688,0.588,0.346,0.343,0.324,0.353
