Player,Match,Result,Year,Serve_Power,Serve_Quick_Points,Serve_Rally_Control,First_Serve_Power,First_Serve_Dominance,Second_Serve_Aggression,Second_Serve_Effectiveness,First_Serve_Placement_Strategy,Second_Serve_Placement_Strategy,Serve_Type_Adaptability,Serve_Consistency,Power_Control_Balance,Clutch_Serving,Serve_Tactical_Intelligence,Serve_Match_Impact,Overall_Serve_Game
Iga Swiatek,2025 Montreal R16,L vsTauson,2025,0.246,0.377,0.463,0.314,0.43,0.58,0.276,0.517,0.148,0.358,0.734,0.572,0.5,0.376,0.322,0.378
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,2025,0.243,0.351,0.654,0.31,0.431,1.19,0.25,0.286,0.067,0.347,0.696,0.493,0.0,0.209,0.381,0.367
Iga Swiatek,2025 Wimbledon SF,W vsBencic,2025,0.25,0.455,0.645,0.333,0.531,0.36,0.228,0.481,0.095,0.391,0.546,0.478,0.5,0.372,0.43,0.416
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,2025,0.221,0.309,0.54,0.27,0.389,0.13,0.297,0.47,0.24,0.345,0.833,0.512,0.434,0.367,0.38,0.364
Iga Swiatek,2025 Wimbledon R16,W vsTauson,2025,0.375,0.525,0.7,0.48,0.614,1.11,0.459,0.402,0.722,0.54,0.734,0.596,0.5,0.541,0.594,0.535
Iga Swiatek,2025 Wimbledon R32,W vsCollins,2025,0.375,0.417,0.586,0.429,0.534,0.43,0.337,0.243,0.133,0.442,0.674,0.656,0.0,0.252,0.486,0.439
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,2025,0.26,0.406,0.536,0.3,0.432,0.37,0.325,0.284,0.205,0.381,0.806,0.524,0.072,0.265,0.419,0.381
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,2025,0.4,0.509,0.613,0.5,0.553,0.23,0.419,0.263,0.567,0.49,0.766,0.657,0.5,0.462,0.539,0.506
Iga Swiatek,2025 Bad Homburg F,L vsPegula,2025,0.348,0.464,0.476,0.4,0.458,0.21,0.412,0.532,0.332,0.435,0.911,0.652,0.416,0.43,0.391,0.449
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,2025,0.31,0.452,0.607,0.387,0.518,1.04,0.243,0.251,0.467,0.391,0.578,0.569,0.5,0.4,0.43,0.435
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,2025,0.338,0.455,0.532,0.432,0.504,0.42,0.374,0.477,0.578,0.442,0.772,0.644,0.666,0.521,0.487,0.469
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,2025,0.291,0.473,0.583,0.342,0.519,0.84,0.259,0.483,0.533,0.398,0.595,0.529,0.75,0.513,0.438,0.446
Iga Swiatek,2025 Roland Garros SF,L vsSabalenka,2025,0.127,0.215,0.4,0.178,0.28,0.51,0.18,0.543,0.556,0.234,0.819,0.446,1.0,0.513,0.21,0.298
Iga Swiatek,2025 Roland Garros QF,W vsSvitolina,2025,0.222,0.278,0.577,0.262,0.383,0.57,0.293,0.262,0.206,0.34,0.836,0.503,0.125,0.255,0.374,0.346
Iga Swiatek,2025 Roland Garros R16,W vsRybakina,2025,0.16,0.31,0.526,0.143,0.317,0.92,0.339,0.467,0.2,0.325,0.956,0.34,0.3,0.324,0.358,0.321
Iga Swiatek,2025 Roland Garros R32,W vsCristian,2025,0.203,0.328,0.647,0.219,0.378,1.04,0.366,0.599,0.571,0.371,0.976,0.4,0.834,0.549,0.408,0.402
Iga Swiatek,2025 Roland Garros R64,W vsRaducanu,2025,0.183,0.35,0.63,0.25,0.399,0.61,0.318,0.431,0.12,0.36,0.851,0.408,0.25,0.304,0.396,0.36
Iga Swiatek,2025 Roland Garros R128,W vsSramkova,2025,0.2,0.345,0.61,0.297,0.405,1.19,0.307,0.194,0.111,0.358,0.822,0.47,0.0,0.204,0.394,0.351
Iga Swiatek,2025 Madrid SF,L vsGauff,2025,0.122,0.286,0.35,0.118,0.244,0.35,0.27,0.176,0.133,0.255,0.949,0.35,0.0,0.164,0.229,0.243
Iga Swiatek,2025 Madrid R32,W vsNoskova,2025,0.305,0.424,0.488,0.389,0.488,1.04,0.267,0.601,0.256,0.385,0.643,0.632,0.75,0.475,0.424,0.429
Iga Swiatek,2025 Madrid R64,W vsEala,2025,0.263,0.45,0.491,0.277,0.407,0.42,0.405,0.13,0.106,0.404,0.996,0.509,0.0,0.209,0.445,0.377
Iga Swiatek,2025 Stuttgart QF,L vsOstapenko,2025,0.302,0.36,0.346,0.405,0.429,1.15,0.286,0.356,0.362,0.362,0.752,0.75,0.366,0.362,0.326,0.386
Iga Swiatek,2025 Miami QF,L vsEala,2025,0.157,0.243,0.291,0.205,0.279,0.3,0.142,0.359,0.478,0.215,0.76,0.574,0.292,0.312,0.194,0.27
Iga Swiatek,2025 Miami R16,W vsSvitolina,2025,0.101,0.246,0.542,0.143,0.326,0.76,0.193,0.296,0.389,0.264,0.766,0.293,0.25,0.293,0.291,0.278
Iga Swiatek,2025 Miami R32,W vsMertens,2025,0.296,0.394,0.489,0.383,0.455,0.25,0.274,0.388,0.62,0.371,0.696,0.636,0.625,0.475,0.408,0.419
Iga Swiatek,2025 Miami R64,W vsGarcia,2025,0.386,0.491,0.5,0.457,0.478,0.49,0.437,0.297,0.713,0.457,0.922,0.683,0.5,0.485,0.503,0.481
Iga Swiatek,2025 Indian Wells SF,L vsAndreeva,2025,0.214,0.298,0.524,0.222,0.304,0.17,0.401,0.153,0.077,0.347,0.825,0.476,0.0,0.185,0.312,0.328
Iga Swiatek,2025 Indian Wells QF,W vsZheng,2025,0.185,0.259,0.571,0.229,0.368,0.02,0.226,0.575,0.238,0.302,0.752,0.452,0.375,0.358,0.332,0.336
