Player,Metric,Rank,Value,Matches
Madison Keys,Serve_Power,1,0.286,122
Elena Rybakina,Serve_Power,2,0.278,155
Qinwen Zheng,Serve_Power,3,0.276,84
Ekaterina Alexandrova,Serve_Power,4,0.275,81
Aryna Sabalenka,Serve_Power,5,0.266,469
Coco Gauff,Serve_Power,6,0.253,154
Paula Badosa,Serve_Power,7,0.253,82
Karolina Muchova,Serve_Power,8,0.233,91
Tatjana Maria,Serve_Power,9,0.233,33
Iga Swiatek,Serve_Power,10,0.23,336
Aryna Sabalenka,Serve_Quick_Points,1,0.412,469
Elena Rybakina,Serve_Quick_Points,2,0.401,155
Madison Keys,Serve_Quick_Points,3,0.395,122
Qinwen Zheng,Serve_Quick_Points,4,0.384,84
Ekaterina Alexandrova,Serve_Quick_Points,5,0.381,81
Iga Swiatek,Serve_Quick_Points,6,0.343,336
Coco Gauff,Serve_Quick_Points,7,0.339,154
Paula Badosa,Serve_Quick_Points,8,0.337,82
Karolina Muchova,Serve_Quick_Points,9,0.333,91
Clara Tauson,Serve_Quick_Points,10,0.33,48
Iga Swiatek,Serve_Rally_Control,1,0.53,336
Aryna Sabalenka,Serve_Rally_Control,2,0.512,469
Coco Gauff,Serve_Rally_Control,3,0.51,154
Karolina Muchova,Serve_Rally_Control,4,0.489,91
Mirra Andreeva,Serve_Rally_Control,5,0.488,78
Elena Rybakina,Serve_Rally_Control,6,0.487,155
Clara Tauson,Serve_Rally_Control,7,0.482,48
Ekaterina Alexandrova,Serve_Rally_Control,8,0.477,81
Jessica Pegula,Serve_Rally_Control,9,0.476,123
Madison Keys,Serve_Rally_Control,10,0.47,122
Qinwen Zheng,First_Serve_Power,1,0.394,84
Elena Rybakina,First_Serve_Power,2,0.37,155
Ekaterina Alexandrova,First_Serve_Power,3,0.364,81
Madison Keys,First_Serve_Power,4,0.356,122
Aryna Sabalenka,First_Serve_Power,5,0.331,469
Paula Badosa,First_Serve_Power,6,0.331,82
Tatjana Maria,First_Serve_Power,7,0.321,33
Coco Gauff,First_Serve_Power,8,0.307,154
Clara Tauson,First_Serve_Power,9,0.286,48
Karolina Muchova,First_Serve_Power,10,0.284,91
Qinwen Zheng,First_Serve_Dominance,1,0.486,84
Elena Rybakina,First_Serve_Dominance,2,0.463,155
