Player,Year,Overall_Unret,Matches,Serve_Power,Serve_Quick_Points,Serve_Rally_Control,First_Serve_Power,First_Serve_Dominance,Second_Serve_Aggression,Second_Serve_Effectiveness,First_Serve_Placement_Strategy,Second_Serve_Placement_Strategy,Serve_Type_Adaptability,Serve_Consistency,Power_Control_Balance,Clutch_Serving,Serve_Tactical_Intelligence,Serve_Match_Impact,Overall_Serve_Game
Amanda Anisimova,2017,0.144,2,0.144,0.244,0.465,0.184,0.326,0.325,0.173,0.549,0.315,0.255,0.744,0.411,0.396,0.354,0.256,0.293
Amanda Anisimova,2018,0.219,3,0.219,0.315,0.407,0.22,0.323,0.493,0.291,0.422,0.357,0.307,0.844,0.532,0.325,0.344,0.302,0.334
Amanda Anisimova,2019,0.217,18,0.217,0.316,0.465,0.239,0.346,0.604,0.297,0.475,0.421,0.322,0.858,0.51,0.431,0.394,0.331,0.351
Amanda Anisimova,2020,0.1,5,0.1,0.206,0.454,0.127,0.265,0.786,0.189,0.275,0.467,0.229,0.816,0.323,0.404,0.321,0.234,0.257
Amanda Anisimova,2021,0.206,2,0.206,0.319,0.51,0.26,0.371,0.84,0.3,0.417,0.129,0.337,0.812,0.501,0.236,0.291,0.304,0.344
Amanda Anisimova,2022,0.255,13,0.255,0.405,0.481,0.295,0.415,0.583,0.31,0.541,0.415,0.366,0.802,0.538,0.478,0.433,0.379,0.394
Amanda Anisimova,2023,0.219,5,0.219,0.343,0.428,0.253,0.35,0.508,0.3,0.582,0.412,0.326,0.905,0.542,0.55,0.439,0.307,0.361
Amanda Anisimova,2024,0.268,8,0.268,0.391,0.468,0.311,0.396,0.572,0.361,0.488,0.534,0.378,0.866,0.571,0.53,0.462,0.382,0.403
Amanda Anisimova,2025,0.241,18,0.241,0.379,0.514,0.263,0.388,0.576,0.342,0.481,0.364,0.365,0.82,0.49,0.403,0.396,0.386,0.382
Aryna Sabalenka,2016,0.195,2,0.195,0.338,0.526,0.256,0.392,0.57,0.285,0.428,0.422,0.342,0.81,0.484,0.333,0.373,0.347,0.358
Aryna Sabalenka,2017,0.262,20,0.262,0.424,0.479,0.327,0.451,0.388,0.298,0.47,0.409,0.379,0.743,0.559,0.407,0.409,0.393,0.4
Aryna Sabalenka,2018,0.261,62,0.261,0.408,0.511,0.328,0.444,0.596,0.323,0.504,0.441,0.387,0.785,0.547,0.499,0.444,0.405,0.408
Aryna Sabalenka,2019,0.267,60,0.267,0.398,0.514,0.333,0.437,0.633,0.335,0.484,0.445,0.389,0.783,0.557,0.463,0.434,0.403,0.408
Aryna Sabalenka,2020,0.249,38,0.249,0.394,0.518,0.308,0.426,0.686,0.321,0.518,0.466,0.377,0.785,0.521,0.456,0.439,0.396,0.399
