Player,Net_Freq,Matches,Net_Game_Frequency,Net_Game_Effectiveness,Net_Game_Impact,Serve_Volley_Frequency,Serve_Volley_Effectiveness,Serve_Volley_Impact,Forehand_Power,Backhand_Power,Groundstroke_Balance,Overall_Groundstroke_Power,Forehand_DTL_Control,Forehand_IO_Control,Backhand_DTL_Control,Directional_Versatility,Drop_Shot_Usage,Drop_Shot_Effectiveness,Drop_Shot_Impact,Rally_Aggression,Return_Aggression,Overall_Aggression,Court_Position_Strategy,Tactical_Versatility,Power_Finesse_Balance,Tactical_Adaptability,Tactical_Match_Impact,Offensive_Efficiency,Tactical_Intelligence,Overall_Tactical_Game
Amanda Anisimova,0.058,74,0.058,0.662,0.037,0.001,0.014,0.0,0.185,0.16,0.059,0.172,0.267,0.113,0.306,0.343,0.013,0.219,0.004,0.629,0.506,0.579,0.33,0.633,0.91,0.655,0.647,0.254,0.621,0.389
Aryna Sabalenka,0.089,469,0.089,0.73,0.065,0.006,0.139,0.004,0.228,0.182,0.07,0.205,0.305,0.13,0.38,0.408,0.015,0.34,0.006,0.627,0.589,0.612,0.413,0.717,0.914,0.716,0.745,0.285,0.679,0.432
Clara Tauson,0.08,48,0.08,0.641,0.049,0.001,0.015,0.001,0.18,0.107,0.083,0.144,0.239,0.298,0.283,0.41,0.021,0.434,0.009,0.204,0.191,0.199,0.473,0.601,0.64,0.587,0.603,0.132,0.557,0.279
Coco Gauff,0.092,154,0.092,0.67,0.062,0.003,0.071,0.002,0.104,0.123,0.052,0.114,0.162,0.044,0.29,0.248,0.013,0.304,0.005,0.087,0.137,0.107,0.613,0.542,0.612,0.577,0.586,0.096,0.491,0.234
Ekaterina Alexandrova,0.045,81,0.045,0.762,0.034,0.001,0.075,0.001,0.192,0.13,0.069,0.161,0.268,0.142,0.231,0.321,0.007,0.238,0.003,0.404,0.447,0.421,0.271,0.615,0.866,0.621,0.631,0.201,0.593,0.34
Elena Rybakina,0.071,155,0.071,0.67,0.048,0.001,0.03,0.0,0.196,0.137,0.075,0.166,0.306,0.048,0.285,0.319,0.008,0.285,0.003,0.441,0.434,0.438,0.394,0.617,0.85,0.642,0.645,0.212,0.596,0.35
Elina Svitolina,0.072,226,0.072,0.656,0.046,0.006,0.168,0.004,0.109,0.086,0.043,0.097,0.216,0.155,0.261,0.316,0.007,0.235,0.002,0.057,0.05,0.055,0.579,0.505,0.434,0.498,0.502,0.069,0.442,0.199
Emma Navarro,0.087,48,0.087,0.583,0.05,0.0,0.0,0.0,0.113,0.095,0.042,0.104,0.183,0.148,0.306,0.319,0.013,0.354,0.005,0.031,0.032,0.031,0.621,0.513,0.383,0.496,0.487,0.066,0.434,0.194
Iga Swiatek,0.07,336,0.07,0.744,0.052,0.003,0.112,0.003,0.202,0.141,0.079,0.172,0.276,0.179,0.305,0.38,0.015,0.192,0.006,0.364,0.302,0.339,0.381,0.608,0.779,0.614,0.643,0.186,0.587,0.325
Jasmine Paolini,0.079,83,0.079,0.688,0.054,0.002,0.05,0.002,0.129,0.091,0.044,0.11,0.188,0.07,0.296,0.277,0.007,0.262,0.002,0.087,0.059,0.076,0.571,0.496,0.533,0.522,0.514,0.083,0.455,0.211
Jessica Pegula,0.072,123,0.072,0.642,0.045,0.0,0.009,0.0,0.145,0.103,0.055,0.124,0.268,0.035,0.268,0.285,0.015,0.221,0.004,0.171,0.169,0.17,0.481,0.538,0.654,0.562,0.557,0.114,0.504,0.249
Karolina Muchova,0.15,91,0.15,0.658,0.098,0.061,0.608,0.041,0.151,0.095,0.07,0.123,0.254,0.153,0.244,0.326,0.025,0.341,0.009,0.162,0.157,0.16,0.871,0.765,0.642,0.75,0.761,0.127,0.627,0.315
Madison Keys,0.072,122,0.072,0.64,0.047,0.001,0.018,0.0,0.191,0.119,0.082,0.155,0.309,0.27,0.254,0.416,0.007,0.184,0.002,0.542,0.482,0.518,0.421,0.614,0.878,0.654,0.661,0.232,0.628,0.375
Mirra Andreeva,0.061,78,0.061,0.654,0.041,0.0,0.011,0.0,0.103,0.097,0.036,0.099,0.148,0.044,0.22,0.206,0.019,0.383,0.007,0.035,0.044,0.039,0.48,0.568,0.493,0.528,0.527,0.064,0.453,0.203
Paula Badosa,0.055,82,0.055,0.656,0.036,0.0,0.0,0.0,0.127,0.103,0.059,0.115,0.211,0.121,0.258,0.295,0.004,0.179,0.001,0.018,0.074,0.04,0.41,0.45,0.49,0.454,0.445,0.069,0.42,0.184
Qinwen Zheng,0.071,84,0.071,0.736,0.051,0.003,0.077,0.002,0.167,0.105,0.071,0.136,0.218,0.146,0.297,0.33,0.01,0.292,0.004,0.259,0.33,0.287,0.464,0.605,0.768,0.626,0.641,0.156,0.574,0.304
Tatjana Maria,0.14,33,0.14,0.615,0.086,0.004,0.087,0.002,0.204,0.142,0.192,0.173,0.293,0.199,0.246,0.369,0.017,0.264,0.006,0.003,0.005,0.004,0.684,0.527,0.452,0.536,0.529,0.096,0.475,0.218
