Player,Match,Result,Year,Net_Game_Frequency,Net_Game_Effectiveness,Net_Game_Impact,Serve_Volley_Frequency,Serve_Volley_Effectiveness,Serve_Volley_Impact,Forehand_Power,Backhand_Power,Groundstroke_Balance,Overall_Groundstroke_Power,Forehand_DTL_Control,Forehand_IO_Control,Backhand_DTL_Control,Directional_Versatility,Drop_Shot_Usage,Drop_Shot_Effectiveness,Drop_Shot_Impact,Rally_Aggression,Return_Aggression,Overall_Aggression,Court_Position_Strategy,Tactical_Versatility,Power_Finesse_Balance,Tactical_Adaptability,Tactical_Match_Impact,Offensive_Efficiency,Tactical_Intelligence,Overall_Tactical_Game
Iga Swiatek,2025 Montreal R16,L vsTauson,2025,0.092,0.769,0.071,0.0,0.0,0.0,0.216,0.243,0.027,0.23,0.391,0.0,0.417,0.404,0.0,0.0,0.0,0.51,0.435,0.48,0.366,0.6,0.937,0.654,0.589,0.257,0.632,0.381
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,2025,0.038,1.0,0.038,0.0,0.0,0.0,0.086,0.195,0.109,0.14,0.25,0.0,0.5,0.375,0.0,0.0,0.0,0.06,0.365,0.182,0.247,0.4,0.685,0.455,0.5,0.122,0.464,0.228
Iga Swiatek,2025 Wimbledon SF,W vsBencic,2025,0.069,1.0,0.069,0.0,0.0,0.0,0.342,0.194,0.148,0.268,0.727,0.0,0.2,0.464,0.0,0.0,0.0,0.755,0.745,0.751,0.243,0.6,0.973,0.641,0.705,0.353,0.651,0.455
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,2025,0.022,0.667,0.015,0.0,0.0,0.0,0.156,0.09,0.066,0.123,0.25,0.0,0.2,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.4,0.48,0.377,0.415,0.054,0.367,0.151
Iga Swiatek,2025 Wimbledon R16,W vsTauson,2025,0.108,0.889,0.096,0.0,0.0,0.0,0.25,0.121,0.129,0.186,0.364,0.0,0.333,0.348,0.0,0.0,0.0,0.24,0.64,0.4,0.502,0.6,0.927,0.678,0.746,0.223,0.622,0.362
Iga Swiatek,2025 Wimbledon R32,W vsCollins,2025,0.029,1.0,0.029,0.0,0.0,0.0,0.19,0.158,0.032,0.174,0.286,0.0,0.6,0.443,0.0,0.0,0.0,0.155,0.23,0.185,0.156,0.4,0.66,0.429,0.472,0.134,0.47,0.231
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,2025,0.07,0.692,0.048,0.0,0.0,0.0,0.189,0.216,0.027,0.202,0.269,0.0,0.235,0.252,0.003,0.0,0.0,0.535,0.45,0.501,0.318,0.6,0.991,0.661,0.727,0.246,0.606,0.37
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,2025,0.059,0.667,0.039,0.0,0.0,0.0,0.115,0.174,0.059,0.144,0.333,0.0,0.6,0.466,0.009,0.0,0.0,0.15,0.535,0.304,0.364,0.6,0.736,0.594,0.653,0.161,0.592,0.31
Iga Swiatek,2025 Bad Homburg F,L vsPegula,2025,0.051,0.714,0.036,0.0,0.0,0.0,0.232,0.083,0.149,0.158,0.238,0.0,0.143,0.19,0.005,0.0,0.0,0.715,0.8,0.749,0.295,0.6,1.0,0.659,0.593,0.299,0.592,0.417
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,2025,0.032,1.0,0.032,0.0,0.0,0.0,0.315,0.333,0.018,0.324,0.467,0.0,1.0,0.734,0.008,0.0,0.0,0.46,0.53,0.488,0.096,0.6,0.798,0.558,0.614,0.286,0.663,0.391
