Player,Metric,Rank,Value,Matches
Karolina Muchova,Net_Game_Frequency,1,0.15,91
Tatjana Maria,Net_Game_Frequency,2,0.14,33
Coco Gauff,Net_Game_Frequency,3,0.092,154
Aryna Sabalenka,Net_Game_Frequency,4,0.089,469
Emma Navarro,Net_Game_Frequency,5,0.087,48
Clara Tauson,Net_Game_Frequency,6,0.08,48
Jasmine Paolini,Net_Game_Frequency,7,0.079,83
Elina Svitolina,Net_Game_Frequency,8,0.072,226
Jessica Pegula,Net_Game_Frequency,9,0.072,123
Madison Keys,Net_Game_Frequency,10,0.072,122
Ekaterina Alexandrova,Net_Game_Effectiveness,1,0.762,81
Iga Swiatek,Net_Game_Effectiveness,2,0.744,336
Qinwen Zheng,Net_Game_Effectiveness,3,0.736,84
Aryna Sabalenka,Net_Game_Effectiveness,4,0.73,469
Jasmine Paolini,Net_Game_Effectiveness,5,0.688,83
Coco Gauff,Net_Game_Effectiveness,6,0.67,154
Elena Rybakina,Net_Game_Effectiveness,7,0.67,155
Amanda Anisimova,Net_Game_Effectiveness,8,0.662,74
Karolina Muchova,Net_Game_Effectiveness,9,0.658,91
Elina Svitolina,Net_Game_Effectiveness,10,0.656,226
Karolina Muchova,Net_Game_Impact,1,0.098,91
Tatjana Maria,Net_Game_Impact,2,0.086,33
Aryna Sabalenka,Net_Game_Impact,3,0.065,469
Coco Gauff,Net_Game_Impact,4,0.062,154
Jasmine Paolini,Net_Game_Impact,5,0.054,83
Iga Swiatek,Net_Game_Impact,6,0.052,336
Qinwen Zheng,Net_Game_Impact,7,0.051,84
Emma Navarro,Net_Game_Impact,8,0.05,48
Clara Tauson,Net_Game_Impact,9,0.049,48
Elena Rybakina,Net_Game_Impact,10,0.048,155
Karolina Muchova,Serve_Volley_Frequency,1,0.061,91
Aryna Sabalenka,Serve_Volley_Frequency,2,0.006,469
Elina Svitolina,Serve_Volley_Frequency,3,0.006,226
Tatjana Maria,Serve_Volley_Frequency,4,0.004,33
Coco Gauff,Serve_Volley_Frequency,5,0.003,154
Iga Swiatek,Serve_Volley_Frequency,6,0.003,336
Qinwen Zheng,Serve_Volley_Frequency,7,0.003,84
Jasmine Paolini,Serve_Volley_Frequency,8,0.002,83
Amanda Anisimova,Serve_Volley_Frequency,9,0.001,74
Clara Tauson,Serve_Volley_Frequency,10,0.001,48
Karolina Muchova,Serve_Volley_Effectiveness,1,0.608,91
Elina Svitolina,Serve_Volley_Effectiveness,2,0.168,226
Aryna Sabalenka,Serve_Volley_Effectiveness,3,0.139,469
Iga Swiatek,Serve_Volley_Effectiveness,4,0.112,336
Tatjana Maria,Serve_Volley_Effectiveness,5,0.087,33
Qinwen Zheng,Serve_Volley_Effectiveness,6,0.077,84
Ekaterina Alexandrova,Serve_Volley_Effectiveness,7,0.075,81
Coco Gauff,Serve_Volley_Effectiveness,8,0.071,154
Jasmine Paolini,Serve_Volley_Effectiveness,9,0.05,83
Elena Rybakina,Serve_Volley_Effectiveness,10,0.03,155
Karolina Muchova,Serve_Volley_Impact,1,0.041,91
Aryna Sabalenka,Serve_Volley_Impact,2,0.004,469
Elina Svitolina,Serve_Volley_Impact,3,0.004,226
Iga Swiatek,Serve_Volley_Impact,4,0.003,336
Coco Gauff,Serve_Volley_Impact,5,0.002,154
Jasmine Paolini,Serve_Volley_Impact,6,0.002,83
Qinwen Zheng,Serve_Volley_Impact,7,0.002,84
Tatjana Maria,Serve_Volley_Impact,8,0.002,33
Clara Tauson,Serve_Volley_Impact,9,0.001,48
Ekaterina Alexandrova,Serve_Volley_Impact,10,0.001,81
Aryna Sabalenka,Forehand_Power,1,0.228,469
Tatjana Maria,Forehand_Power,2,0.204,33
Iga Swiatek,Forehand_Power,3,0.202,336
Elena Rybakina,Forehand_Power,4,0.196,155
Ekaterina Alexandrova,Forehand_Power,5,0.192,81
Madison Keys,Forehand_Power,6,0.191,122
Amanda Anisimova,Forehand_Power,7,0.185,74
Clara Tauson,Forehand_Power,8,0.18,48
Qinwen Zheng,Forehand_Power,9,0.167,84
Karolina Muchova,Forehand_Power,10,0.151,91
Aryna Sabalenka,Backhand_Power,1,0.182,469
Amanda Anisimova,Backhand_Power,2,0.16,74
Tatjana Maria,Backhand_Power,3,0.142,33
Iga Swiatek,Backhand_Power,4,0.141,336
Elena Rybakina,Backhand_Power,5,0.137,155
Ekaterina Alexandrova,Backhand_Power,6,0.13,81
Coco Gauff,Backhand_Power,7,0.123,154
Madison Keys,Backhand_Power,8,0.119,122
Clara Tauson,Backhand_Power,9,0.107,48
Qinwen Zheng,Backhand_Power,10,0.105,84
Tatjana Maria,Groundstroke_Balance,1,0.192,33
Clara Tauson,Groundstroke_Balance,2,0.083,48
Madison Keys,Groundstroke_Balance,3,0.082,122
Iga Swiatek,Groundstroke_Balance,4,0.078,336
Elena Rybakina,Groundstroke_Balance,5,0.075,155
Qinwen Zheng,Groundstroke_Balance,6,0.071,84
Aryna Sabalenka,Groundstroke_Balance,7,0.07,469
Karolina Muchova,Groundstroke_Balance,8,0.07,91
Ekaterina Alexandrova,Groundstroke_Balance,9,0.069,81
Amanda Anisimova,Groundstroke_Balance,10,0.059,74
Aryna Sabalenka,Overall_Groundstroke_Power,1,0.205,469
Tatjana Maria,Overall_Groundstroke_Power,2,0.173,33
Amanda Anisimova,Overall_Groundstroke_Power,3,0.172,74
Iga Swiatek,Overall_Groundstroke_Power,4,0.172,336
Elena Rybakina,Overall_Groundstroke_Power,5,0.166,155
Ekaterina Alexandrova,Overall_Groundstroke_Power,6,0.161,81
Madison Keys,Overall_Groundstroke_Power,7,0.155,122
Clara Tauson,Overall_Groundstroke_Power,8,0.144,48
Qinwen Zheng,Overall_Groundstroke_Power,9,0.136,84
Jessica Pegula,Overall_Groundstroke_Power,10,0.124,123
Madison Keys,Forehand_DTL_Control,1,0.309,122
Elena Rybakina,Forehand_DTL_Control,2,0.306,155
Aryna Sabalenka,Forehand_DTL_Control,3,0.305,469
Tatjana Maria,Forehand_DTL_Control,4,0.293,33
Iga Swiatek,Forehand_DTL_Control,5,0.276,336
Ekaterina Alexandrova,Forehand_DTL_Control,6,0.268,81
Jessica Pegula,Forehand_DTL_Control,7,0.268,123
Amanda Anisimova,Forehand_DTL_Control,8,0.267,74
Karolina Muchova,Forehand_DTL_Control,9,0.254,91
Clara Tauson,Forehand_DTL_Control,10,0.239,48
Clara Tauson,Forehand_IO_Control,1,0.298,48
Madison Keys,Forehand_IO_Control,2,0.27,122
Tatjana Maria,Forehand_IO_Control,3,0.199,33
Iga Swiatek,Forehand_IO_Control,4,0.179,336
Elina Svitolina,Forehand_IO_Control,5,0.155,226
Karolina Muchova,Forehand_IO_Control,6,0.153,91
Emma Navarro,Forehand_IO_Control,7,0.148,48
Qinwen Zheng,Forehand_IO_Control,8,0.146,84
Ekaterina Alexandrova,Forehand_IO_Control,9,0.142,81
Aryna Sabalenka,Forehand_IO_Control,10,0.13,469
Aryna Sabalenka,Backhand_DTL_Control,1,0.38,469
Amanda Anisimova,Backhand_DTL_Control,2,0.306,74
Emma Navarro,Backhand_DTL_Control,3,0.306,48
Iga Swiatek,Backhand_DTL_Control,4,0.305,336
Qinwen Zheng,Backhand_DTL_Control,5,0.297,84
Jasmine Paolini,Backhand_DTL_Control,6,0.296,83
Coco Gauff,Backhand_DTL_Control,7,0.29,154
Elena Rybakina,Backhand_DTL_Control,8,0.285,155
Clara Tauson,Backhand_DTL_Control,9,0.283,48
Jessica Pegula,Backhand_DTL_Control,10,0.268,123
Madison Keys,Directional_Versatility,1,0.416,122
Clara Tauson,Directional_Versatility,2,0.41,48
Aryna Sabalenka,Directional_Versatility,3,0.408,469
