Player,Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
Iga Swiatek,2025 Montreal R16,L vsTauson,3.1,3.0,3.3,41.8%,50.0%,50.0%,75.0%,54.3%,11.4%,7.5,8.3,9.5,13.6
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,3.6,3.5,3.6,68.6%,72.2%,25.0%,100.0%,50.4%,5.0%,1.5,2.6,10.0,18.2
Iga Swiatek,2025 Wimbledon SF,W vsBencic,3.4,3.3,3.5,69.1%,52.0%,40.0%,100.0%,57.5%,2.0%,12.5,20.5,12.0,25.5
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,3.9,4.2,3.6,60.3%,50.0%,43.8%,62.5%,60.8%,1.2%,13.0,10.8,5.5,6.7
Iga Swiatek,2025 Wimbledon R16,W vsTauson,3.4,2.5,4.3,57.4%,77.8%,0.0%,85.7%,54.2%,7.4%,7.0,13.0,6.0,12.5
Iga Swiatek,2025 Wimbledon R32,W vsCollins,3.1,3.1,3.2,55.9%,60.9%,77.8%,66.7%,55.5%,3.5%,11.0,17.7,5.5,10.4
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,4.0,4.1,3.9,52.9%,55.8%,64.7%,57.1%,64.0%,5.3%,21.0,10.9,11.0,10.4
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,3.0,2.9,3.1,63.2%,47.8%,55.6%,0.0%,38.6%,2.9%,-1.0,-2.6,6.0,9.1
Iga Swiatek,2025 Bad Homburg F,L vsPegula,3.2,3.4,3.0,45.5%,60.0%,45.5%,50.0%,58.4%,5.2%,7.5,7.4,-9.5,-13.2
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,3.3,3.5,3.1,62.5%,72.4%,83.3%,33.3%,64.8%,4.4%,21.0,26.6,8.0,19.0
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,3.3,3.1,3.4,51.5%,50.0%,60.0%,42.9%,56.1%,4.6%,2.0,2.0,0.0,0.0
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,3.3,3.8,2.9,56.0%,63.0%,25.0%,50.0%,49.1%,6.2%,10.5,15.2,6.5,8.9
Iga Swiatek,2025 Roland Garros SF,L vsSabalenka,3.1,3.5,2.7,36.4%,52.9%,75.0%,66.7%,49.3%,4.8%,5.5,6.2,1.0,1.0
Iga Swiatek,2025 Roland Garros QF,W vsSvitolina,4.3,4.2,4.4,54.4%,55.9%,58.8%,50.0%,55.8%,2.8%,11.0,8.7,8.5,8.3
Iga Swiatek,2025 Roland Garros R16,W vsRybakina,3.6,3.8,3.3,52.7%,37.8%,64.7%,55.6%,46.1%,7.2%,16.0,14.8,13.0,10.3
