Player,Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
Iga Swiatek,2025 Montreal R16,L vsTauson,0.0%,-,9.2%,76.9%,21.6%,39.1%,0.0%,24.3%,41.7%,0.0%,-,102,87
Iga Swiatek,2025 Wimbledon F,W vsAnisimova,0.0%,-,3.8%,100.0%,8.6%,25.0%,0.0%,19.5%,50.0%,0.0%,-,12,73
Iga Swiatek,2025 Wimbledon SF,W vsBencic,0.0%,-,6.9%,100.0%,34.2%,72.7%,0.0%,19.4%,20.0%,0.0%,-,151,149
Iga Swiatek,2025 Wimbledon QF,W vsSamsonova,0.0%,-,2.2%,66.7%,15.6%,25.0%,0.0%,9.0%,20.0%,0.0%,-,-4,-1
Iga Swiatek,2025 Wimbledon R16,W vsTauson,0.0%,-,10.8%,88.9%,25.0%,36.4%,0.0%,12.1%,33.3%,0.0%,-,48,128
Iga Swiatek,2025 Wimbledon R32,W vsCollins,0.0%,-,2.9%,100.0%,19.0%,28.6%,0.0%,15.8%,60.0%,0.0%,-,31,46
Iga Swiatek,2025 Wimbledon R64,W vsMcnally,0.0%,-,7.0%,69.2%,18.9%,26.9%,0.0%,21.6%,23.5%,0.3%,0.0%,107,90
Iga Swiatek,2025 Wimbledon R128,W vsKudermetova,0.0%,-,5.9%,66.7%,11.5%,33.3%,0.0%,17.4%,60.0%,0.9%,0.0%,30,107
Iga Swiatek,2025 Bad Homburg F,L vsPegula,0.0%,-,5.1%,71.4%,23.2%,23.8%,0.0%,8.3%,14.3%,0.5%,0.0%,143,160
Iga Swiatek,2025 Bad Homburg SF,W vsPaolini,0.0%,-,3.2%,100.0%,31.5%,46.7%,0.0%,33.3%,100.0%,0.8%,0.0%,92,106
Iga Swiatek,2025 Bad Homburg QF,W vsAlexandrova,0.0%,-,2.7%,50.0%,12.9%,22.7%,0.0%,18.4%,14.3%,0.5%,0.0%,114,122
Iga Swiatek,2025 Bad Homburg R16,W vsAzarenka,0.0%,-,6.1%,85.7%,19.6%,71.4%,0.0%,25.0%,45.5%,0.6%,0.0%,131,140
Iga Swiatek,2025 Roland Garros SF,L vsSabalenka,0.0%,-,9.4%,68.8%,20.6%,46.7%,0.0%,15.2%,38.9%,0.5%,100.0%,167,94
Iga Swiatek,2025 Roland Garros QF,W vsSvitolina,0.0%,-,3.1%,75.0%,12.1%,25.0%,0.0%,14.6%,33.3%,0.0%,-,23,34
Iga Swiatek,2025 Roland Garros R16,W vsRybakina,0.0%,-,4.4%,62.5%,22.4%,36.4%,0.0%,13.9%,23.1%,1.2%,0.0%,17,7
Iga Swiatek,2025 Roland Garros R32,W vsCristian,0.0%,-,5.9%,87.5%,23.6%,31.3%,50.0%,12.2%,26.3%,0.0%,-,47,28
Iga Swiatek,2025 Roland Garros R64,W vsRaducanu,0.0%,-,7.8%,100.0%,21.7%,14.3%,0.0%,16.0%,31.8%,0.0%,-,113,96
Iga Swiatek,2025 Roland Garros R128,W vsSramkova,0.0%,-,6.6%,75.0%,32.3%,50.0%,0.0%,4.8%,20.0%,0.5%,0.0%,48,56
Iga Swiatek,2025 Madrid SF,L vsGauff,0.0%,-,8.4%,57.1%,10.2%,20.0%,0.0%,16.7%,27.3%,1.0%,0.0%,134,68
Iga Swiatek,2025 Madrid R32,W vsNoskova,0.0%,-,6.8%,85.7%,20.0%,36.4%,0.0%,17.0%,57.1%,0.0%,-,41,37
Iga Swiatek,2025 Madrid R64,W vsEala,0.0%,-,5.0%,77.8%,32.1%,50.0%,25.0%,15.4%,40.0%,0.0%,-,197,181
Iga Swiatek,2025 Stuttgart QF,L vsOstapenko,0.0%,-,3.1%,80.0%,22.4%,40.0%,0.0%,8.2%,25.0%,0.0%,-,54,89
Iga Swiatek,2025 Miami QF,L vsEala,0.0%,-,1.5%,100.0%,15.3%,37.5%,42.9%,17.0%,63.6%,0.0%,-,189,145
Iga Swiatek,2025 Miami R16,W vsSvitolina,0.0%,-,6.5%,80.0%,15.2%,30.0%,40.0%,20.8%,34.5%,0.0%,-,38,25
Iga Swiatek,2025 Miami R32,W vsMertens,0.0%,-,5.0%,85.7%,12.9%,35.7%,0.0%,16.7%,33.3%,0.0%,-,34,57
Iga Swiatek,2025 Miami R64,W vsGarcia,0.0%,-,2.4%,66.7%,35.1%,33.3%,0.0%,20.0%,42.1%,0.0%,-,99,110
Iga Swiatek,2025 Indian Wells SF,L vsAndreeva,0.0%,-,8.6%,73.3%,15.8%,30.0%,50.0%,10.3%,20.0%,0.0%,-,36,29
Iga Swiatek,2025 Indian Wells QF,W vsZheng,0.0%,-,3.5%,100.0%,11.6%,30.0%,0.0%,3.7%,7.7%,0.0%,-,-71,-57
Iga Swiatek,2025 Indian Wells R16,W vsMuchova,0.0%,-,5.3%,100.0%,17.5%,21.1%,0.0%,15.6%,14.3%,0.0%,-,-50,0
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,0.0%,-,3.3%,66.7%,16.1%,0.0%,0.0%,12.0%,40.0%,0.0%,-,-22,58
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,2.4%,100.0%,9.1%,75.0%,25.0%,36.4%,0.0%,16.7%,42.9%,0.0%,-,135,128
Iga Swiatek,2025 Dubai QF,L vsAndreeva,0.0%,-,7.9%,30.0%,14.1%,14.3%,0.0%,13.1%,18.2%,0.0%,-,158,97
Iga Swiatek,2025 Doha SF,L vsOstapenko,0.0%,-,2.1%,0.0%,16.2%,0.0%,0.0%,19.0%,100.0%,0.0%,-,25,22
Iga Swiatek,2025 Doha QF,W vsRybakina,0.0%,-,7.0%,77.8%,13.5%,21.4%,0.0%,14.5%,75.0%,0.0%,-,-10,-19
Iga Swiatek,2025 Doha R32,W vsSakkari,0.0%,-,6.7%,85.7%,9.8%,8.6%,0.0%,8.7%,12.5%,0.5%,0.0%,-62,-34
Iga Swiatek,2025 Australian Open SF,L vsKeys,0.0%,-,10.0%,76.2%,14.8%,27.5%,0.0%,12.0%,30.8%,0.6%,0.0%,14,26
Iga Swiatek,2025 Australian Open QF,W vsNavarro,0.0%,-,8.9%,60.0%,10.3%,21.4%,100.0%,13.8%,30.0%,0.0%,-,-18,-28
Iga Swiatek,2025 Australian Open R16,W vsLys,0.0%,-,8.1%,85.7%,21.8%,28.0%,0.0%,19.0%,33.3%,0.7%,0.0%,109,136
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,0.0%,-,3.4%,66.7%,31.8%,42.1%,0.0%,13.7%,27.8%,0.0%,-,17,35
Iga Swiatek,2025 Australian Open R64,W vsSramkova,0.0%,-,5.3%,100.0%,9.9%,4.3%,50.0%,14.3%,40.0%,0.0%,-,-35,-6
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,0.0%,-,4.5%,80.0%,23.3%,50.0%,0.0%,10.4%,18.2%,0.6%,0.0%,-26,3
Iga Swiatek,2025 United Cup F,L vsGauff,0.0%,-,8.5%,90.9%,15.5%,34.5%,0.0%,9.8%,21.4%,0.0%,-,58,57
Iga Swiatek,2025 United Cup SF,W vsRybakina,0.0%,-,6.4%,80.0%,20.0%,32.1%,0.0%,8.9%,10.5%,0.0%,-,35,32
Iga Swiatek,2025 United Cup QF,W vsBoulter,0.0%,-,3.9%,62.5%,14.1%,26.2%,0.0%,10.5%,43.3%,0.3%,0.0%,-39,-1
Iga Swiatek,2025 United Cup RR,W vsMuchova,0.0%,-,9.0%,76.9%,16.0%,19.0%,50.0%,16.7%,41.7%,0.0%,-,17,19
Iga Swiatek,2025 United Cup RR,W vsHelgo,0.0%,-,1.2%,100.0%,38.7%,75.0%,100.0%,28.6%,50.0%,0.0%,-,209,208
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,0.0%,-,6.2%,69.2%,16.8%,22.6%,0.0%,13.6%,27.8%,0.0%,-,110,101
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,0.0%,-,5.8%,83.3%,16.2%,34.5%,0.0%,6.4%,12.5%,0.0%,-,-25,9
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,0.0%,-,7.3%,85.7%,15.2%,26.0%,0.0%,6.7%,11.8%,0.6%,50.0%,63,32
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,0.0%,-,5.8%,100.0%,14.5%,21.7%,0.0%,21.5%,50.0%,0.0%,-,100,116
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,0.0%,-,4.2%,100.0%,7.8%,28.0%,0.0%,8.0%,17.6%,0.0%,-,93,43
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,0.0%,-,5.4%,75.0%,18.9%,16.7%,0.0%,26.8%,40.0%,0.0%,-,120,121
Iga Swiatek,2024 US Open QF,L vsPegula,0.0%,-,6.1%,57.1%,8.9%,16.7%,0.0%,11.3%,18.8%,0.0%,-,35,26
Iga Swiatek,2024 US Open R16,W vsSamsonova,0.0%,-,4.6%,100.0%,9.1%,9.1%,0.0%,12.5%,36.4%,0.0%,-,7,20
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,0.0%,-,5.5%,66.7%,31.0%,50.0%,0.0%,21.6%,62.5%,0.0%,-,19,58
Iga Swiatek,2024 US Open R128,W vsRakhimova,0.0%,-,5.6%,75.0%,19.0%,36.0%,0.0%,12.7%,46.7%,0.0%,-,133,102
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,0.0%,-,4.5%,33.3%,10.2%,33.3%,0.0%,17.1%,42.9%,0.0%,-,152,104
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,0.0%,-,5.0%,70.0%,19.8%,33.3%,0.0%,11.2%,25.0%,0.0%,-,62,76
Iga Swiatek,2024 Cincinnati R16,W vsKostyuk,0.0%,-,7.5%,71.4%,18.8%,20.0%,0.0%,13.2%,50.0%,0.0%,-,3,70
Iga Swiatek,2024 Cincinnati R32,W vsGracheva,0.0%,-,7.7%,69.2%,21.0%,48.7%,0.0%,17.2%,38.5%,0.0%,-,106,96
Iga Swiatek,2024 Paris Olympics BR,W vsSchmiedlova,0.0%,-,8.4%,71.4%,18.5%,18.2%,0.0%,21.3%,42.9%,0.0%,-,84,105
Iga Swiatek,2024 Paris Olympics SF,L vsZheng,0.0%,-,5.7%,85.7%,18.2%,26.9%,100.0%,7.2%,22.2%,0.0%,-,85,89
Iga Swiatek,2024 Paris Olympics QF,W vsCollins,0.0%,-,5.8%,87.5%,14.8%,25.0%,0.0%,13.0%,41.2%,0.5%,0.0%,18,26
Iga Swiatek,2024 Paris Olympics R16,W vsWang,0.0%,-,3.3%,75.0%,23.8%,28.6%,11.1%,7.7%,11.8%,0.0%,-,36,3
Iga Swiatek,2024 Paris Olympics R32,W vsParry,0.0%,-,10.5%,50.0%,12.7%,27.8%,0.0%,14.5%,47.1%,0.0%,-,-8,-9
Iga Swiatek,2024 Paris Olympics R64,W vsBegu,0.0%,-,7.2%,77.8%,20.3%,18.2%,0.0%,10.9%,20.0%,0.0%,-,77,75
Iga Swiatek,2024 Wimbledon R32,L vsPutintseva,0.0%,-,8.0%,53.8%,15.1%,28.3%,0.0%,18.6%,28.6%,0.4%,0.0%,98,88
Iga Swiatek,2024 Wimbledon R64,W vsMartic,0.0%,-,4.5%,80.0%,28.3%,42.1%,0.0%,22.7%,57.1%,0.0%,-,114,108
Iga Swiatek,2024 Wimbledon R128,W vsKenin,0.0%,-,4.4%,80.0%,18.6%,55.6%,0.0%,14.7%,40.0%,0.0%,-,114,114
